zip_codes,total
20815,53475
20895,22074
20817,18695
20854,18527
20910,17105
20902,16349
20852,12611.45
20901,9275
20814,9270
20816,5975
21401,4650
21218,4425
20906,3786.69
20850,3635
20912,3626
21210,3445
21230,3250
21409,3150
20896,2969.96
20866,2750
21797,2600
21042,2525
21117,2355
20904,2133
20735,2e3
21212,1595
21146,1275
21209,1195
20878,1130
21012,1125
21228,1100
21403,1100
20832,1085
20776,1e3
21217,910
21093,900
21204,860
21202,650
21234,625
20853,612
21044,575
20877,560
20874,550
21201,514
20851,500
21158,427
21157,407
21286,400
21152,350
21163,350
20833,335
21114,325
20782,300
20855,300
20903,300
20818,275
21702,275
21075,270
21032,260
20744,250
21710,250
20603,200
20783,200
21029,200
21113,175
21061,150
21224,150
20882,145
20886,125
21784,125
20876,110
21620,102
21754,102
20646,100
20659,100
21046,100
21108,100
21140,100
21225,100
21231,100
21532,100
21723,100
21740,100
21774,100
21871,100
20907,75
21214,75
21222,55
21666,55
20905,50
21211,50
21043,47
20769,30
21060,30
20686,25
20708,25
20716,25
20723,25
21237,25
21239,25
21658,25
21014,20
20695,15
21030,15
21037,15
20650,10
20879,10
21229,10
21779,10
21220,5
21136,3
